,RiderID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,PULocationID,PUBorough,PUZone,DOLocationID,DOBorough,DOZone,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,total_amount,congestion_surcharge
29,30,2024-07-18 07:40:24,2024-07-18 07:46:08,1.0,0.6,1.0,74,Manhattan,East Harlem North,41,Manhattan,Central Harlem,1,5.8,0.0,0.5,2.0,0.0,9.3,0.0
30,31,2024-07-17 14:06:00,2024-07-17 14:40:30,1.0,3.16,1.0,211,Manhattan,SoHo,163,Manhattan,Midtown North,1,28.9,0.0,0.5,5.0,0.0,37.9,2.5
31,32,2024-07-16 22:42:51,2024-07-16 22:54:02,1.0,1.3,1.0,68,Manhattan,East Chelsea,163,Manhattan,Midtown North,1,11.4,1.0,0.5,3.28,0.0,19.68,2.5
32,33,2024-07-16 19:54:09,2024-07-16 20:02:22,2.0,1.39,1.0,211,Manhattan,SoHo,158,Manhattan,Meatpacking/West Village West,1,10.0,2.5,0.5,3.3,0.0,19.8,2.5
33,34,2024-07-16 16:30:28,2024-07-16 16:43:58,1.0,1.25,1.0,161,Manhattan,Midtown Center,164,Manhattan,Midtown South,1,12.8,2.5,0.5,1.0,0.0,20.3,2.5
34,35,2024-07-16 07:24:14,2024-07-16 08:16:26,1.0,19.33,2.0,142,Manhattan,Lincoln Square East,132,Queens,JFK Airport,1,70.0,0.0,0.5,16.19,6.94,97.13,2.5
35,36,2024-07-15 16:32:20,2024-07-15 16:38:48,1.0,1.1,1.0,163,Manhattan,Midtown North,237,Manhattan,Upper East Side South,1,7.9,2.5,0.5,2.88,0.0,17.28,2.5
36,37,2024-07-14 16:08:48,2024-07-14 16:40:56,1.0,10.57,1.0,163,Manhattan,Midtown North,138,Queens,LaGuardia Airport,1,48.5,5.0,0.5,12.89,6.94,77.33,2.5
37,38,2024-07-14 00:17:25,2024-07-14 00:26:31,1.0,0.92,1.0,107,Manhattan,Gramercy,90,Manhattan,Flatiron,1,9.3,1.0,0.5,2.86,0.0,17.16,2.5
38,39,2024-07-13 21:48:51,2024-07-13 22:03:18,1.0,1.1,1.0,90,Manhattan,Flatiron,79,Manhattan,East Village,1,12.8,3.5,0.5,3.55,0.0,21.35,2.5
39,40,2024-07-13 13:11:19,2024-07-13 13:26:10,1.0,3.03,1.0,236,Manhattan,Upper East Side North,166,Manhattan,Morningside Heights,1,17.7,0.0,0.5,0.0,0.0,21.7,2.5
40,41,2024-07-13 11:28:32,2024-07-13 11:41:03,1.0,1.05,1.0,234,Manhattan,Union Sq,107,Manhattan,Gramercy,1,12.1,0.0,0.5,1.0,0.0,17.1,2.5
41,42,2024-07-12 19:09:35,2024-07-12 19:14:59,1.0,0.7,1.0,237,Manhattan,Upper East Side South,237,Manhattan,Upper East Side South,1,6.5,5.0,0.5,1.5,0.0,14.5,2.5
42,43,2024-07-12 15:03:38,2024-07-12 15:03:48,2.0,0.0,2.0,68,Manhattan,East Chelsea,68,Manhattan,East Chelsea,3,-70.0,0.0,-0.5,0.0,0.0,-74.0,-2.5
43,44,2024-07-11 20:37:38,2024-07-11 21:02:21,1.0,4.12,1.0,114,Manhattan,Greenwich Village South,48,Manhattan,Clinton East,1,26.1,1.0,0.5,5.6,0.0,36.7,2.5
44,45,2024-07-11 19:27:01,2024-07-11 19:38:36,1.0,1.49,1.0,90,Manhattan,Flatiron,170,Manhattan,Murray Hill,1,11.4,2.5,0.5,3.58,0.0,21.48,2.5
